bug,campaign,mutator,n_patches,verdict,reason
Dagger_core_13_1,census_GB3,5 mutators,5,overfitting,all 5 variants prevent the supertype binding REQUEST (AND-in isPlatformType / flip null-check / always-false / 2x delete); dev fix keeps the request but adds mustBeInjectable=false via cross-file Linker API change; patched code silently drops supertype member injection
Jcabi_aether_1_1,census_GB3,StatementRemover,1,overfitting,deletes the constructor loop registering remote repositories (empty remotes array); dev fix restructures mirror/proxy handling
Jcabi_aether_1_2,census_GB3,NullPointerChecker,1,overfitting,closest miss: genuine null-guard at the true NPE site (activeProxy==null -> return repos) but skips MIRROR mapping for proxyless settings which the dev fix preserves
Spring_context_support_2_1,census_GB3,ConditionalExpressionMutator,1,overfitting,ORs isBeanPresent() into a downstream filter; dev fix delegates to Spring beanNamesForType APIs (different mechanism and result set)
Tascalate_concurrent_1_1,census_GB3,CondExprMutator+StmtRemover,2,overfitting,unsatisfiable conjunction (CompletionException && ExecutionException) resp. branch deletion -> always re-wrap; defeats self-suppression trigger; dev fix relocates forwardException in AbstractCompletableTask; TBar's conjunction is IDENTICAL to Hercules' passing patch (cross-tool convergence)
Tascalate_concurrent_2_1,census_GB3,CondExprMutator+StmtRemover,2,overfitting,same two patches as _1_1
Zip4j_29_1,census_GB3,StatementRemover,1,overfitting,deletes the AES MAC verification throw (read path); dev fix repairs DeflaterOutputStream initialization (write path)
Zip4j_47_1,GB4,StatementRemover,1,overfitting,deletes the SAME AES MAC verification throw; dev fix repairs STORE+AES compression-method lookup (write path) - two different parent bugs silenced by deleting the same integrity check
JacksonDatabind_126_1,GB5_S6,MethodInvocationMutator,1,overfitting,"TBar swaps idFromValueAndType's null-value branch from idFromClass(type) to _defaultTypeId(type), sidestepping the NPE via the default-id helper; dev fix (6 hunks) generalizes HashMap->Map and switches _typeToId to TreeMap for deterministic type-id selection - entirely different mechanism, no equivalence"
JacksonDatabind_135_2,GB5_S6,"4 mutators",13,correct,"re-judged 2026-08-30: the dev sub-patch reduces equals to identity (same class -> false, else false); ConditionalExpressionMutator Patch_6_5 ((o == null) || !(o == this)) and VariableReplacer Patch_69_36 (toString().equals(...) is always false) compute exactly that identity function and are semantically equivalent; the other 11 patches overfit (equals(null) NPE, always-true, ClassCastException, recursive-compare variants)"
